Run_ID,Run_Timestamp,Symbol,Date,Close_Price,Volume,Z_Score,Skewness,Kurtosis,ADF_p_value,Volume_Spike,Signal_Strength,Signal,Reason,Confidence,Logic,Factors,Buy_Logic,Sell_Logic,Validation_Message,Buy_Threshold,Sell_Threshold,Sector,Analysis_Timestamp,Tickers_Analyzed,Portfolio_Positions
bcb9d9e9,29-08-2025 00:37,BW,29-08-2025,2.045,40143,2.577260295,0.547552948,3.515907362,0.988583434,0.45475888,0,HOLD,"HOLD (LOW) - Ticker: BW, Z: 2.577, Threshold: 3.281",LOW,"HOLD: Z-Score=2.577, Threshold=3.281, Strength=0.000","Z(2.58), Threshold(1.12/3.28), Vol(0.45)",,,"Ticker-specific thresholds applied - Buy: 1.117, Sell: 3.281",1.117,3.281,Technology,37:47.3,16,10
bcb9d9e9,29-08-2025 00:37,CVNA,29-08-2025,375.16,14791,1.735672697,12.66391569,286.3068599,0.0524027,0.300805624,-1,SELL,"SELL (HIGH) - Ticker: CVNA, Z: 1.736, Threshold: -0.711",HIGH,"SELL: Z-Score=1.736, Threshold=-0.711, Strength=-1.000","Z(1.74), Threshold(-2.04/-0.71), Vol(0.30)",,"SELL: Z-Score=1.736, Threshold=-0.711, Strength=-1.000","Ticker-specific thresholds applied - Buy: -2.035, Sell: -0.711",-2.035,-0.711,E-Commerce,37:32.6,16,5
bcb9d9e9,29-08-2025 00:37,GOOG,29-08-2025,212.59,67124,1.965812014,1.121638844,15.09023852,0.783837001,0.134236187,0,HOLD,"HOLD (LOW) - Ticker: GOOG, Z: 1.966, Threshold: 2.044",LOW,"HOLD: Z-Score=1.966, Threshold=2.044, Strength=0.000","Z(1.97), Threshold(0.89/2.04), Vol(0.13)",,,"Ticker-specific thresholds applied - Buy: 0.885, Sell: 2.044",0.885,2.044,Technology,37:24.8,16,3
bcb9d9e9,29-08-2025 00:37,HPE,29-08-2025,23.18,141240,2.602535454,0.643919477,27.99315124,0.929833319,0.207461045,-1,SELL,"SELL (HIGH) - Ticker: HPE, Z: 2.603, Threshold: -0.461",HIGH,"SELL: Z-Score=2.603, Threshold=-0.461, Strength=-1.000","Z(2.60), Threshold(-0.46/-0.46), Vol(0.21)",,"SELL: Z-Score=2.603, Threshold=-0.461, Strength=-1.000","Ticker-specific thresholds applied - Buy: -0.461, Sell: -0.461",-0.461,-0.461,Hardware,37:35.0,16,6
bcb9d9e9,29-08-2025 00:37,JMIA,29-08-2025,9.145,31915,1.923578202,10.34475955,190.4834979,0.954196636,0.156023987,0,HOLD,"HOLD (LOW) - Ticker: JMIA, Z: 1.924, Threshold: 3.792",LOW,"HOLD: Z-Score=1.924, Threshold=3.792, Strength=0.000","Z(1.92), Threshold(1.22/3.79), Vol(0.16)",,,"Ticker-specific thresholds applied - Buy: 1.222, Sell: 3.792",1.222,3.792,E-Commerce,37:54.5,16,10
bcb9d9e9,29-08-2025 00:37,MSFT,29-08-2025,509.635,66407,-0.595975332,11.4172983,232.7443574,0.302686261,0.121627566,-0.060512334,SELL,"SELL (MODERATE) - Ticker: MSFT, Z: -0.596, Threshold: -0.717",MODERATE,"SELL: Z-Score=-0.596, Threshold=-0.717, Strength=-0.061","Z(-0.60), Threshold(-1.19/-0.72), Vol(0.12)",,"SELL: Z-Score=-0.596, Threshold=-0.717, Strength=-0.061","Ticker-specific thresholds applied - Buy: -1.186, Sell: -0.717",-1.186,-0.717,Technology,37:22.3,16,3
bcb9d9e9,29-08-2025 00:37,NVDA,29-08-2025,180.9801,1492172,0.916860114,-0.969764849,15.63795917,0.237973573,0.203533387,0,HOLD,"HOLD (LOW) - Ticker: NVDA, Z: 0.917, Threshold: 1.637",LOW,"HOLD: Z-Score=0.917, Threshold=1.637, Strength=0.000","Z(0.92), Threshold(-0.10/1.64), Vol(0.20)",,,"Ticker-specific thresholds applied - Buy: -0.101, Sell: 1.637",-0.101,1.637,Technology,37:27.2,16,3
bcb9d9e9,29-08-2025 00:37,PATH,29-08-2025,11.37,68497,-0.197596258,-0.358184439,9.256686474,0.544792626,0.248620011,-0.259701871,SELL,"SELL (HIGH) - Ticker: PATH, Z: -0.198, Threshold: -0.717",HIGH,"SELL: Z-Score=-0.198, Threshold=-0.717, Strength=-0.260","Z(-0.20), Threshold(-1.37/-0.72), Vol(0.25)",,"SELL: Z-Score=-0.198, Threshold=-0.717, Strength=-0.260","Ticker-specific thresholds applied - Buy: -1.368, Sell: -0.717",-1.368,-0.717,Technology,37:19.9,16,2
bcb9d9e9,29-08-2025 00:37,PLTR,29-08-2025,157.67,923697,-0.446616842,1.282380361,51.24718451,0.520935208,0.407340528,-0.015691579,SELL,"SELL (MODERATE) - Ticker: PLTR, Z: -0.447, Threshold: -0.478",MODERATE,"SELL: Z-Score=-0.447, Threshold=-0.478, Strength=-0.016","Z(-0.45), Threshold(-1.19/-0.48), Vol(0.41)",,"SELL: Z-Score=-0.447, Threshold=-0.478, Strength=-0.016","Ticker-specific thresholds applied - Buy: -1.185, Sell: -0.478",-1.185,-0.478,Technology,37:39.9,16,8
bcb9d9e9,29-08-2025 00:37,PTON,29-08-2025,7.535,51091,0.347519379,2.662891151,27.66501578,0.539741357,0.243769102,0,HOLD,"HOLD (LOW) - Ticker: PTON, Z: 0.348, Threshold: 3.508",LOW,"HOLD: Z-Score=0.348, Threshold=3.508, Strength=0.000","Z(0.35), Threshold(0.17/3.51), Vol(0.24)",,,"Ticker-specific thresholds applied - Buy: 0.175, Sell: 3.508",0.175,3.508,Consumer,37:49.6,16,10
